-0.06160346,0.06854717,0.01603777
-0.03081529,-0.30489425,-0.11545227
0.05989947,0.34800281,-0.08245978
0.15433647,-0.12569121,-0.04154781
0.26108412,-0.36132958,0.17601500
0.11604326,0.51146119,-0.12041898
0.42669099,0.11550019,-0.05455499
0.30681827,-0.28778573,-0.10641880
0.17215305,0.28730478,-0.10995552
-0.07693771,-0.14571284,-0.09777664
0.32959380,0.47174263,-0.09405304
0.12808118,-0.08306737,0.15953132
-0.07282155,0.13619746,0.05207683
0.28887509,0.57834529,-0.09375741
0.22911669,-0.04746464,-0.00511597
