5.241833001549077835e+02,2.346975745251338594e+02,3.716681137911621704e+02
4.789563437929514294e+02,2.149167178054685508e+02,2.384775051220784405e+02
5.628349182470336700e+02,1.924789807991627129e+02,2.796979554517133693e+02
5.443407522869232480e+02,2.541366417501959063e+02,3.646869275617625021e+02
5.706956745536506332e+02,2.431280503822788432e+02,2.238512943042603638e+02
6.010113449051390262e+02,1.781228182602485504e+02,2.684425355945177785e+02
5.572839951277063619e+02,1.972666965436372948e+02,1.805003512877154890e+02
5.300670127229205946e+02,3.205000698205076901e+02,1.747485795852746548e+02
6.566885720095510806e+02,1.626797826622643299e+02,1.172930260128471502e+02
5.579483441155634864e+02,2.201974175030889000e+02,3.665212537043796601e+02
5.058790099447517719e+02,2.813920533152885355e+02,2.298392951497212380e+02
5.885783803781195047e+02,1.720794380993506820e+02,2.196929698082992672e+02
4.959604463782252424e+02,1.840469938437588269e+02,2.016780122330125948e+02
5.853454055983319222e+02,2.435779015496328270e+02,2.506762354028805362e+02
6.178394051364306279e+02,2.135228059219187173e+02,2.886710528380248206e+02
