-6.874790387309923645e-01,1.577629545992303539e+00,4.443534542053991787e-01
-4.821041166046242110e-01,1.631455499466867298e+00,8.506402271251241043e-01
-9.302047127136142679e-01,1.335284156544919165e+00,3.291803679992886256e-01
-5.173950681370358406e-01,1.415251140070208358e+00,6.776124196842312486e-01
-1.520027789358823211e-01,1.387998791114005481e+00,6.924648352697114762e-01
-1.050035580786523814e+00,1.205556381692607593e+00,2.436831648132132822e-01
-6.247413019389054245e-01,1.075798222449805275e+00,5.436426973135852769e-01
-3.923591260738085729e-01,1.287910691931969165e+00,8.727445375403740657e-01
-8.633238643844550753e-01,1.241914951849903082e+00,4.245558581800794595e-01
-6.124521846126690372e-01,1.636912221558568747e+00,7.039764306180765763e-01
-9.297876689395841998e-01,1.033083535089719618e+00,2.947971012752651498e-01
-4.213960440422526155e-01,1.447136265264162169e+00,4.803678341141468522e-01
-7.152939015542786327e-01,1.572278539687300247e+00,3.618774983370157128e-01
-1.014057883800274729e+00,1.025588623054499493e+00,2.052623750621171139e-01
-5.401401634638939298e-01,1.310784116099223739e+00,6.036622055693714461e-01
