-69.38265442,-6.86202007,258.04395044
-112.46345563,38.78050602,360.32907613
-29.85782286,-14.21811115,348.10950604
-82.82122947,-31.22541376,212.31003553
-20.30748943,-61.65907995,321.67410557
0.49605378,-34.55446788,361.36498118
-45.13315483,-11.61513331,367.36785235
-156.10600685,-62.14519782,356.36478474
32.53047082,-79.22245871,484.14410841
-60.60443436,-17.10601149,251.08254545
-143.62002060,-24.30642191,355.26494777
34.68299012,-38.63732925,366.97739534
-47.01615053,31.16038721,436.00324268
-61.90155521,-64.12231287,348.59820731
-5.76611167,-70.72376613,278.81779056
